Date,Open,High,Low,Close,Adjusted Close,Volume
"Apr 20, 2022","41,501.75","42,126.30","40,961.10","41,374.38","41,374.38","27,819,532,341"
"Apr 19, 2022","40,828.18","41,672.96","40,618.63","41,502.75","41,502.75","25,303,206,547"
"Apr 18, 2022","39,721.20","40,986.32","38,696.19","40,826.21","40,826.21","33,705,182,072"
"Apr 17, 2022","40,417.78","40,570.73","39,620.89","39,716.95","39,716.95","19,087,633,042"
"Apr 16, 2022","40,552.32","40,633.68","40,078.43","40,424.48","40,424.48","16,833,150,693"
"Apr 15, 2022","39,939.40","40,617.72","39,866.83","40,553.46","40,553.46","21,756,855,753"
"Apr 14, 2022","41,160.22","41,451.48","39,695.75","39,935.52","39,935.52","24,342,001,973"
"Apr 13, 2022","40,123.57","41,430.05","39,712.75","41,166.73","41,166.73","27,691,105,228"
"Apr 12, 2022","39,533.71","40,617.59","39,388.33","40,127.18","40,127.18","30,991,500,854"
"Apr 11, 2022","42,201.04","42,424.59","39,373.06","39,521.90","39,521.90","33,949,912,166"
"Apr 10, 2022","42,781.09","43,376.38","42,021.21","42,207.67","42,207.67","17,654,475,582"
"Apr 09, 2022","42,282.08","42,786.82","42,183.25","42,782.14","42,782.14","16,050,772,496"
"Apr 08, 2022","43,505.14","43,903.02","42,183.29","42,287.66","42,287.66","27,215,995,394"
"Apr 07, 2022","43,207.50","43,860.70","42,899.91","43,503.85","43,503.85","26,101,973,106"
"Apr 06, 2022","45,544.36","45,544.36","43,193.95","43,206.74","43,206.74","39,393,395,788"
"Apr 05, 2022","46,624.51","47,106.14","45,544.81","45,555.99","45,555.99","29,640,604,055"
"Apr 04, 2022","46,445.27","46,791.09","45,235.82","46,622.68","46,622.68","32,499,785,455"
"Apr 03, 2022","45,859.13","47,313.48","45,634.11","46,453.57","46,453.57","25,414,397,610"
"Apr 02, 2022","46,285.50","47,028.28","45,782.51","45,868.95","45,868.95","29,336,594,194"
"Apr 01, 2022","45,554.16","46,616.24","44,403.14","46,281.64","46,281.64","38,162,644,287"
"Mar 31, 2022","47,062.15","47,512.03","45,390.54","45,538.68","45,538.68","33,327,427,106"
"Mar 30, 2022","47,456.90","47,655.15","46,746.21","47,062.66","47,062.66","29,333,883,962"
"Mar 29, 2022","47,100.44","48,022.29","47,100.44","47,465.73","47,465.73","31,397,059,069"
"Mar 28, 2022","46,821.85","48,086.84","46,690.20","47,128.00","47,128.00","36,362,175,703"
"Mar 27, 2022","44,505.36","46,827.55","44,437.29","46,820.49","46,820.49","28,160,889,722"
"Mar 26, 2022","44,349.86","44,736.00","44,166.27","44,500.83","44,500.83","16,950,455,995"
"Mar 25, 2022","43,964.55","44,999.49","43,706.29","44,348.73","44,348.73","30,574,413,034"
"Mar 24, 2022","42,886.65","44,131.86","42,726.16","43,960.93","43,960.93","31,042,992,291"
"Mar 23, 2022","42,364.38","42,893.51","41,877.51","42,892.96","42,892.96","25,242,943,069"
"Mar 22, 2022","41,074.11","43,124.71","40,948.28","42,358.81","42,358.81","32,004,652,376"
"Mar 21, 2022","41,246.13","41,454.41","40,668.04","41,078.00","41,078.00","24,615,543,271"
"Mar 20, 2022","42,191.41","42,241.16","41,004.76","41,247.82","41,247.82","20,127,946,682"
"Mar 19, 2022","41,794.65","42,316.55","41,602.67","42,190.65","42,190.65","19,664,853,187"
"Mar 18, 2022","40,944.84","42,195.75","40,302.40","41,801.16","41,801.16","34,421,564,942"
"Mar 17, 2022","41,140.84","41,287.54","40,662.87","40,951.38","40,951.38","22,009,601,093"
"Mar 16, 2022","39,335.57","41,465.45","39,022.35","41,143.93","41,143.93","39,616,916,192"
"Mar 15, 2022","39,664.25","39,794.63","38,310.21","39,338.79","39,338.79","23,934,000,868"
"Mar 14, 2022","37,846.32","39,742.50","37,680.73","39,666.75","39,666.75","24,322,159,070"
"Mar 13, 2022","38,884.73","39,209.35","37,728.14","37,849.66","37,849.66","17,300,745,310"
"Mar 12, 2022","38,794.46","39,308.60","38,772.54","38,904.01","38,904.01","14,616,450,657"
"Mar 11, 2022","39,439.97","40,081.68","38,347.43","38,794.97","38,794.97","26,364,890,465"
"Mar 10, 2022","41,974.07","42,004.73","38,832.94","39,437.46","39,437.46","31,078,064,711"
"Mar 09, 2022","38,742.82","42,465.67","38,706.09","41,982.93","41,982.93","32,284,121,034"
"Mar 08, 2022","38,059.90","39,304.44","37,957.39","38,737.27","38,737.27","25,776,583,476"
"Mar 07, 2022","38,429.30","39,430.23","37,260.20","38,062.04","38,062.04","28,546,143,503"
"Mar 06, 2022","39,404.20","39,640.18","38,211.65","38,419.98","38,419.98","19,745,229,902"
"Mar 05, 2022","39,148.45","39,566.34","38,777.04","39,400.59","39,400.59","16,975,917,450"
"Mar 04, 2022","42,458.14","42,479.61","38,805.85","39,137.61","39,137.61","28,516,271,427"
"Mar 03, 2022","43,925.20","44,021.58","41,914.75","42,451.79","42,451.79","24,967,782,593"
"Mar 02, 2022","44,357.62","45,077.58","43,432.85","43,924.12","43,924.12","29,183,112,630"
